"id","user","price","date","opened"
"37","1","0","2024-05-23",False
"38","1","0","2024-05-23",False
"39","1","0","2024-05-23",False
"40","1","0","2024-05-23",False
"41","1","0","2024-05-23",False
"42","1","0","2024-05-23",False
"43","1","0","2024-05-23",False
"15","17","0","2024-05-19",True
"44","1","0","2024-05-23",False
"45","1","0","2024-05-23",False
"46","1","0","2024-05-23",False
"47","1","0","2024-05-23",False
"48","1","0","2024-05-23",False
"49","1","0","2024-05-23",True
"1","1","1","2024-05-18",False
"33","1","0","2024-05-23",False
"34","1","0","2024-05-23",False
"35","1","0","2024-05-23",False
"36","1","0","2024-05-23",False
